"Time Study from ,""2020-12-01 12:17:35"""
"Statistic values,""Lap time"",""IM"",""TMU"",""DM"",""HM"",""CYCLE"""
"Averages,""00:08,497"",""0,24"",""0,14"",""13"",""236"",""17"""
"Min values,""00:00,639"",""0,02"",""0,01"",""1"",""18"",""1"""
"Min values,""01:23,197"",""2,31"",""1,39"",""138"",""2311"",""94"""
"Lap No,""Time"",""Total time"",""Seconds consecutive"",""Lap time"",""IMa"",""TMU"",""DMa"",""HM"",""CYCLE"",""LONG_LAP_UPDATED_TIME (can be deleted by user)"",""LONG_UPDATED_TIME (can be deleted by user)"""
"95,""11:58:40"",""11:07,702"",""667"",""00:04,432"",""0,123111"",""123,111115"",""0,073867"",""7"",""13,537905"",""4432"",""667702"""
"96,""11:58:43"",""11:10,571"",""670"",""00:02,869"",""0,079694"",""79,694443"",""0,047817"",""4"",""20,913210"",""2869"",""670571"""
"97,""11:58:45"",""11:11,839"",""671"",""00:01,268"",""0,035222"",""35,222221"",""0,021133"",""2"",""47,318611"",""1268"",""671839"""
"98,""11:59:08"",""11:35,626"",""695"",""00:23,787"",""0,660750"",""660,750000"",""0,396450"",""39"",""2,522386"",""23787"",""695626"""
"99,""11:59:24"",""11:51,444"",""711"",""00:15,818"",""0,439389"",""439,388885"",""0,263633"",""26"",""3,793147"",""15818"",""711444"""
"100,""11:59:27"",""11:54,425"",""714"",""00:02,981"",""0,082806"",""82,805557"",""0,049683"",""4"",""20,127474"",""2981"",""714425"""
"101,""11:59:30"",""11:56,951"",""716"",""00:02,526"",""0,070167"",""70,166664"",""0,042100"",""4"",""23,752968"",""2526"",""716951"""
"102,""11:59:50"",""12:17,490"",""737"",""00:20,539"",""0,570528"",""570,527771"",""0,342317"",""34"",""2,921272"",""20539"",""737490"""
"103,""12:00:18"",""12:45,502"",""765"",""00:28,012"",""0,778111"",""778,111084"",""0,466867"",""46"",""2,141939"",""28012"",""765502"""
"104,""12:00:20"",""12:47,212"",""767"",""00:01,710"",""0,047500"",""47,500000"",""0,028500"",""2"",""35,087719"",""1710"",""767212"""
"105,""12:00:48"",""13:15,503"",""795"",""00:28,291"",""0,785861"",""785,861084"",""0,471517"",""47"",""2,120816"",""28291"",""795503"""
"106,""12:00:56"",""13:23,352"",""803"",""00:07,849"",""0,218028"",""218,027771"",""0,130817"",""13"",""7,644286"",""7849"",""803352"""
"107,""12:00:58"",""13:25,648"",""805"",""00:02,296"",""0,063778"",""63,777779"",""0,038267"",""3"",""26,132404"",""2296"",""805648"""
"108,""12:01:10"",""13:37,313"",""817"",""00:11,665"",""0,324028"",""324,027771"",""0,194417"",""19"",""5,143592"",""11665"",""817313"""
"109,""12:01:14"",""13:41,141"",""821"",""00:03,828"",""0,106333"",""106,333336"",""0,063800"",""6"",""15,673982"",""3828"",""821141"""
"110,""12:01:16"",""13:43,242"",""823"",""00:02,101"",""0,058361"",""58,361111"",""0,035017"",""3"",""28,557829"",""2101"",""823242"""
"111,""12:01:18"",""13:45,410"",""825"",""00:02,168"",""0,060222"",""60,222221"",""0,036133"",""3"",""27,675276"",""2168"",""825410"""
"112,""12:01:21"",""13:47,836"",""827"",""00:02,426"",""0,067389"",""67,388885"",""0,040433"",""4"",""24,732067"",""2426"",""827836"""
"113,""12:01:44"",""14:10,856"",""850"",""00:23,020"",""0,639444"",""639,444458"",""0,383667"",""38"",""2,606429"",""23020"",""850856"""
"114,""12:01:46"",""14:13,343"",""853"",""00:02,487"",""0,069083"",""69,083336"",""0,041450"",""4"",""24,125452"",""2487"",""853343"""
"115,""12:01:49"",""14:16,277"",""856"",""00:02,934"",""0,081500"",""81,500000"",""0,048900"",""4"",""20,449898"",""2934"",""856277"""
